i_rs	I(R_rs)	I(R_vs)	I(R_vs)/I(R_rs)
Step Information: Elec=100m  (Run: 1/4)
1.000000000000000e-003	1.000000e-003	1.321599e-013	1.321599e-010
2.000000000000000e-003	2.000000e-003	2.648316e-013	1.324158e-010
3.000000000000000e-003	3.000000e-003	3.995632e-013	1.331877e-010
4.000000000000000e-003	4.000000e-003	5.348326e-013	1.337081e-010
5.000000000000000e-003	5.000000e-003	6.711385e-013	1.342277e-010
6.000000000000000e-003	6.000000e-003	8.084939e-013	1.347490e-010
7.000000000000000e-003	7.000000e-003	9.469162e-013	1.352737e-010
8.000000000000000e-003	8.000000e-003	1.086405e-012	1.358007e-010
9.000000000000001e-003	9.000000e-003	1.227005e-012	1.363339e-010
1.000000000000000e-002	1.000000e-002	1.368679e-012	1.368680e-010
1.100000000000000e-002	1.100000e-002	1.511447e-012	1.374043e-010
1.200000000000000e-002	1.200000e-002	1.655360e-012	1.379467e-010
1.300000000000001e-002	1.300000e-002	1.800313e-012	1.384856e-010
1.400000000000001e-002	1.400000e-002	1.946446e-012	1.390319e-010
1.500000000000001e-002	1.500000e-002	2.093707e-012	1.395805e-010
1.600000000000001e-002	1.600000e-002	2.242095e-012	1.401310e-010
1.700000000000001e-002	1.700000e-002	2.391629e-012	1.406840e-010
1.800000000000001e-002	1.800000e-002	2.542341e-012	1.412412e-010
1.900000000000001e-002	1.900000e-002	2.694164e-012	1.417981e-010
2.000000000000001e-002	2.000000e-002	2.847236e-012	1.423618e-010
2.100000000000001e-002	2.100000e-002	3.001453e-012	1.429263e-010
2.200000000000001e-002	2.200000e-002	3.156884e-012	1.434947e-010
2.300000000000001e-002	2.300000e-002	3.313530e-012	1.440665e-010
2.400000000000001e-002	2.400000e-002	3.471355e-012	1.446398e-010
2.500000000000002e-002	2.500000e-002	3.630464e-012	1.452186e-010
2.600000000000002e-002	2.600000e-002	3.790752e-012	1.457982e-010
2.700000000000002e-002	2.700000e-002	3.952325e-012	1.463824e-010
2.800000000000002e-002	2.800000e-002	4.115111e-012	1.469682e-010
2.900000000000002e-002	2.900000e-002	4.279146e-012	1.475568e-010
3.000000000000002e-002	3.000000e-002	4.444500e-012	1.481500e-010
3.100000000000002e-002	3.100000e-002	4.611103e-012	1.487453e-010
3.200000000000002e-002	3.200000e-002	4.779024e-012	1.493445e-010
3.300000000000002e-002	3.300000e-002	4.948264e-012	1.499474e-010
3.400000000000002e-002	3.400000e-002	5.118683e-012	1.505495e-010
3.500000000000002e-002	3.500000e-002	5.290629e-012	1.511608e-010
3.600000000000003e-002	3.600000e-002	5.463754e-012	1.517710e-010
3.700000000000003e-002	3.700000e-002	5.638268e-012	1.523856e-010
3.800000000000003e-002	3.800000e-002	5.814099e-012	1.530026e-010
3.900000000000003e-002	3.900000e-002	5.991319e-012	1.536235e-010
4.000000000000003e-002	4.000000e-002	6.169926e-012	1.542481e-010
4.100000000000003e-002	4.100000e-002	6.349990e-012	1.548778e-010
4.200000000000003e-002	4.200000e-002	6.531303e-012	1.555072e-010
4.300000000000003e-002	4.300000e-002	6.714213e-012	1.561445e-010
4.400000000000003e-002	4.400000e-002	6.898371e-012	1.567812e-010
4.500000000000003e-002	4.500000e-002	7.084056e-012	1.574235e-010
4.600000000000003e-002	4.600000e-002	7.271059e-012	1.580665e-010
4.700000000000004e-002	4.700000e-002	7.459727e-012	1.587176e-010
4.800000000000004e-002	4.800000e-002	7.649645e-012	1.593676e-010
4.900000000000004e-002	4.900000e-002	7.841089e-012	1.600222e-010
5.000000000000004e-002	5.000000e-002	8.034060e-012	1.606812e-010
5.100000000000004e-002	5.100000e-002	8.228557e-012	1.613443e-010
5.200000000000004e-002	5.200000e-002	8.424442e-012	1.620085e-010
5.300000000000004e-002	5.300000e-002	8.621923e-012	1.626778e-010
5.400000000000004e-002	5.400000e-002	8.820930e-012	1.633506e-010
5.500000000000004e-002	5.500000e-002	9.021534e-012	1.640279e-010
5.600000000000004e-002	5.600000e-002	9.223525e-012	1.647058e-010
5.700000000000004e-002	5.700000e-002	9.427320e-012	1.653916e-010
5.800000000000005e-002	5.800000e-002	9.632434e-012	1.660764e-010
5.900000000000005e-002	5.900000e-002	9.839352e-012	1.667687e-010
6.000000000000005e-002	6.000000e-002	1.004787e-011	1.674644e-010
6.100000000000005e-002	6.100000e-002	1.025784e-011	1.681612e-010
6.200000000000005e-002	6.200000e-002	1.046961e-011	1.688647e-010
6.300000000000004e-002	6.300000e-002	1.068284e-011	1.695689e-010
6.400000000000004e-002	6.400000e-002	1.089781e-011	1.702783e-010
6.500000000000004e-002	6.500000e-002	1.111444e-011	1.709914e-010
6.600000000000005e-002	6.600000e-002	1.133288e-011	1.717103e-010
6.700000000000005e-002	6.700000e-002	1.155298e-011	1.724325e-010
6.800000000000005e-002	6.800000e-002	1.177475e-011	1.731580e-010
6.900000000000005e-002	6.900000e-002	1.199804e-011	1.738847e-010
7.000000000000005e-002	7.000000e-002	1.222342e-011	1.746202e-010
7.100000000000005e-002	7.100000e-002	1.245004e-011	1.753527e-010
7.200000000000005e-002	7.200000e-002	1.267902e-011	1.760976e-010
7.300000000000005e-002	7.300000e-002	1.290940e-011	1.768410e-010
7.400000000000005e-002	7.400000e-002	1.314157e-011	1.775888e-010
7.500000000000005e-002	7.500000e-002	1.337569e-011	1.783425e-010
7.600000000000005e-002	7.600000e-002	1.361161e-011	1.791002e-010
7.700000000000006e-002	7.700000e-002	1.384934e-011	1.798615e-010
7.800000000000006e-002	7.800000e-002	1.408873e-011	1.806247e-010
7.900000000000006e-002	7.900000e-002	1.433020e-011	1.813950e-010
8.000000000000006e-002	8.000000e-002	1.457348e-011	1.821685e-010
8.100000000000006e-002	8.100000e-002	1.481870e-011	1.829469e-010
8.200000000000006e-002	8.200000e-002	1.506573e-011	1.837284e-010
8.300000000000006e-002	8.300000e-002	1.531483e-011	1.845161e-010
8.400000000000006e-002	8.400000e-002	1.556560e-011	1.853048e-010
8.500000000000006e-002	8.500000e-002	1.581860e-011	1.861011e-010
8.600000000000006e-002	8.600000e-002	1.607339e-011	1.868999e-010
8.700000000000006e-002	8.700000e-002	1.632999e-011	1.877011e-010
8.800000000000006e-002	8.800000e-002	1.658895e-011	1.885108e-010
8.900000000000007e-002	8.900000e-002	1.684958e-011	1.893211e-010
9.000000000000007e-002	9.000000e-002	1.711242e-011	1.901380e-010
9.100000000000007e-002	9.100000e-002	1.737735e-011	1.909599e-010
9.200000000000007e-002	9.200000e-002	1.764422e-011	1.917850e-010
9.300000000000007e-002	9.300000e-002	1.791303e-011	1.926132e-010
9.400000000000007e-002	9.400000e-002	1.818434e-011	1.934505e-010
9.500000000000007e-002	9.500000e-002	1.845760e-011	1.942905e-010
9.600000000000007e-002	9.600000e-002	1.873279e-011	1.951333e-010
9.700000000000007e-002	9.700000e-002	1.901007e-011	1.959801e-010
9.800000000000007e-002	9.800000e-002	1.928985e-011	1.968352e-010
9.900000000000007e-002	9.900000e-002	1.957157e-011	1.976926e-010
1.000000000000001e-001	1.000000e-001	1.985551e-011	1.985551e-010
1.010000000000001e-001	1.010000e-001	2.014153e-011	1.994211e-010
1.020000000000001e-001	1.020000e-001	2.042991e-011	2.002932e-010
1.030000000000001e-001	1.030000e-001	2.072037e-011	2.011686e-010
1.040000000000001e-001	1.040000e-001	2.101347e-011	2.020526e-010
1.050000000000001e-001	1.050000e-001	2.130851e-011	2.029382e-010
1.060000000000001e-001	1.060000e-001	2.160591e-011	2.038294e-010
1.070000000000001e-001	1.070000e-001	2.190553e-011	2.047246e-010
1.080000000000001e-001	1.080000e-001	2.220765e-011	2.056264e-010
1.090000000000001e-001	1.090000e-001	2.251199e-011	2.065320e-010
1.100000000000001e-001	1.100000e-001	2.281883e-011	2.074439e-010
1.110000000000001e-001	1.110000e-001	2.312761e-011	2.083569e-010
1.120000000000001e-001	1.120000e-001	2.343944e-011	2.092808e-010
1.130000000000001e-001	1.130000e-001	2.375308e-011	2.102043e-010
1.140000000000001e-001	1.140000e-001	2.406964e-011	2.111372e-010
1.150000000000001e-001	1.150000e-001	2.438855e-011	2.120743e-010
1.160000000000001e-001	1.160000e-001	2.470996e-011	2.130169e-010
1.170000000000001e-001	1.170000e-001	2.503359e-011	2.139623e-010
1.180000000000001e-001	1.180000e-001	2.535999e-011	2.149152e-010
1.190000000000001e-001	1.190000e-001	2.568876e-011	2.158719e-010
1.200000000000001e-001	1.200000e-001	2.602002e-011	2.168335e-010
1.210000000000001e-001	1.210000e-001	2.635420e-011	2.178033e-010
1.220000000000001e-001	1.220000e-001	2.669059e-011	2.187754e-010
1.230000000000001e-001	1.230000e-001	2.702991e-011	2.197553e-010
1.240000000000001e-001	1.240000e-001	2.737144e-011	2.207374e-010
1.250000000000001e-001	1.250000e-001	2.771616e-011	2.217293e-010
1.260000000000001e-001	1.260000e-001	2.806311e-011	2.227231e-010
1.270000000000001e-001	1.270000e-001	2.841311e-011	2.237252e-010
1.280000000000001e-001	1.280000e-001	2.876560e-011	2.247312e-010
1.290000000000001e-001	1.290000e-001	2.912059e-011	2.257411e-010
1.300000000000001e-001	1.300000e-001	2.947864e-011	2.267588e-010
1.310000000000001e-001	1.310000e-001	2.983946e-011	2.277822e-010
1.320000000000001e-001	1.320000e-001	3.020278e-011	2.288090e-010
1.330000000000001e-001	1.330000e-001	3.056971e-011	2.298475e-010
1.340000000000001e-001	1.340000e-001	3.093859e-011	2.308850e-010
1.350000000000001e-001	1.350000e-001	3.131106e-011	2.319338e-010
1.360000000000001e-001	1.360000e-001	3.168577e-011	2.329836e-010
1.370000000000001e-001	1.370000e-001	3.206380e-011	2.340423e-010
1.380000000000001e-001	1.380000e-001	3.244488e-011	2.351078e-010
1.390000000000001e-001	1.390000e-001	3.282874e-011	2.361780e-010
1.400000000000001e-001	1.400000e-001	3.321510e-011	2.372507e-010
1.410000000000001e-001	1.410000e-001	3.360479e-011	2.383318e-010
1.420000000000001e-001	1.420000e-001	3.399780e-011	2.394212e-010
1.430000000000001e-001	1.430000e-001	3.439360e-011	2.405147e-010
1.440000000000001e-001	1.440000e-001	3.479245e-011	2.416142e-010
1.450000000000001e-001	1.450000e-001	3.519435e-011	2.427196e-010
