i_vs	I(R_rs)	I(R_vs)	I(R_vs)/I(R_rs)
Step Information: I_rs=1m Elec=100m Rho=100m  (Run: 1/81)
1.000000000000000e-003	1.000000e-003	1.000000e-003	1.000000e+000
1.584893192461114e-003	1.000000e-003	1.584893e-003	1.584893e+000
2.511886431509581e-003	1.000000e-003	2.511886e-003	2.511886e+000
3.981071705534973e-003	1.000000e-003	3.981072e-003	3.981071e+000
6.309573444801935e-003	1.000000e-003	6.309574e-003	6.309573e+000
1.000000000000000e-002	1.000000e-003	1.000000e-002	9.999999e+000
1.584893192461114e-002	1.000000e-003	1.584893e-002	1.584893e+001
2.511886431509581e-002	1.000000e-003	2.511887e-002	2.511886e+001
3.981071705534975e-002	1.000000e-003	3.981072e-002	3.981072e+001
6.309573444801937e-002	1.000000e-003	6.309573e-002	6.309573e+001
1.000000000000001e-001	1.000000e-003	1.000000e-001	1.000000e+002
1.584893192461115e-001	1.000000e-003	1.584893e-001	1.584893e+002
2.511886431509583e-001	1.000000e-003	2.511886e-001	2.511886e+002
3.981071705534977e-001	1.000000e-003	3.981072e-001	3.981072e+002
6.309573444801940e-001	1.000000e-003	6.309574e-001	6.309573e+002
1.000000000000001e+000	1.000000e-003	1.000000e+000	1.000000e+003
1.584893192461116e+000	1.000000e-003	1.584893e+000	1.584893e+003
2.511886431509584e+000	1.000000e-003	2.511886e+000	2.511886e+003
3.981071705534979e+000	1.000000e-003	3.981072e+000	3.981072e+003
6.309573444801944e+000	1.000000e-003	6.309574e+000	6.309573e+003
1.000000000000000e+001	1.000000e-003	1.000000e+001	1.000000e+004
Step Information: I_rs=3.16228m Elec=100m Rho=100m  (Run: 2/81)
1.000000000000000e-003	3.162278e-003	1.000000e-003	3.162278e-001
1.584893192461114e-003	3.162278e-003	1.584893e-003	5.011872e-001
2.511886431509581e-003	3.162278e-003	2.511886e-003	7.943282e-001
3.981071705534973e-003	3.162278e-003	3.981072e-003	1.258925e+000
6.309573444801935e-003	3.162278e-003	6.309574e-003	1.995262e+000
1.000000000000000e-002	3.162278e-003	1.000000e-002	3.162278e+000
1.584893192461114e-002	3.162278e-003	1.584893e-002	5.011873e+000
2.511886431509581e-002	3.162278e-003	2.511887e-002	7.943283e+000
3.981071705534975e-002	3.162278e-003	3.981072e-002	1.258925e+001
6.309573444801937e-002	3.162278e-003	6.309573e-002	1.995262e+001
1.000000000000001e-001	3.162278e-003	1.000000e-001	3.162278e+001
1.584893192461115e-001	3.162278e-003	1.584893e-001	5.011872e+001
2.511886431509583e-001	3.162278e-003	2.511886e-001	7.943282e+001
3.981071705534977e-001	3.162278e-003	3.981072e-001	1.258925e+002
6.309573444801940e-001	3.162278e-003	6.309574e-001	1.995262e+002
1.000000000000001e+000	3.162278e-003	1.000000e+000	3.162278e+002
1.584893192461116e+000	3.162278e-003	1.584893e+000	5.011872e+002
2.511886431509584e+000	3.162278e-003	2.511886e+000	7.943282e+002
3.981071705534979e+000	3.162278e-003	3.981072e+000	1.258925e+003
6.309573444801944e+000	3.162278e-003	6.309574e+000	1.995262e+003
1.000000000000000e+001	3.162278e-003	1.000000e+001	3.162278e+003
Step Information: I_rs=10m Elec=100m Rho=100m  (Run: 3/81)
1.000000000000000e-003	1.000000e-002	1.000000e-003	1.000000e-001
1.584893192461114e-003	1.000000e-002	1.584893e-003	1.584893e-001
2.511886431509581e-003	1.000000e-002	2.511886e-003	2.511886e-001
3.981071705534973e-003	1.000000e-002	3.981072e-003	3.981072e-001
6.309573444801935e-003	1.000000e-002	6.309574e-003	6.309574e-001
1.000000000000000e-002	1.000000e-002	1.000000e-002	1.000000e+000
1.584893192461114e-002	1.000000e-002	1.584893e-002	1.584893e+000
2.511886431509581e-002	1.000000e-002	2.511887e-002	2.511887e+000
3.981071705534975e-002	1.000000e-002	3.981072e-002	3.981072e+000
6.309573444801937e-002	1.000000e-002	6.309573e-002	6.309573e+000
1.000000000000001e-001	1.000000e-002	1.000000e-001	1.000000e+001
1.584893192461115e-001	1.000000e-002	1.584893e-001	1.584893e+001
2.511886431509583e-001	1.000000e-002	2.511886e-001	2.511886e+001
3.981071705534977e-001	1.000000e-002	3.981072e-001	3.981072e+001
6.309573444801940e-001	1.000000e-002	6.309574e-001	6.309574e+001
1.000000000000001e+000	1.000000e-002	1.000000e+000	1.000000e+002
1.584893192461116e+000	1.000000e-002	1.584893e+000	1.584893e+002
2.511886431509584e+000	1.000000e-002	2.511886e+000	2.511886e+002
3.981071705534979e+000	1.000000e-002	3.981072e+000	3.981072e+002
6.309573444801944e+000	1.000000e-002	6.309574e+000	6.309574e+002
1.000000000000000e+001	1.000000e-002	1.000000e+001	1.000000e+003
Step Information: I_rs=31.6228m Elec=100m Rho=100m  (Run: 4/81)
1.000000000000000e-003	3.162277e-002	1.000000e-003	3.162278e-002
1.584893192461114e-003	3.162277e-002	1.584893e-003	5.011873e-002
2.511886431509581e-003	3.162277e-002	2.511886e-003	7.943283e-002
3.981071705534973e-003	3.162277e-002	3.981072e-003	1.258925e-001
6.309573444801935e-003	3.162277e-002	6.309574e-003	1.995262e-001
1.000000000000000e-002	3.162277e-002	1.000000e-002	3.162278e-001
1.584893192461114e-002	3.162277e-002	1.584893e-002	5.011873e-001
2.511886431509581e-002	3.162277e-002	2.511887e-002	7.943283e-001
3.981071705534975e-002	3.162277e-002	3.981072e-002	1.258925e+000
6.309573444801937e-002	3.162277e-002	6.309573e-002	1.995262e+000
1.000000000000001e-001	3.162277e-002	1.000000e-001	3.162278e+000
1.584893192461115e-001	3.162277e-002	1.584893e-001	5.011873e+000
